Triplet #,Anchor,Positive,Negative,Hardness Score
1,"(1, 2, 6, 3)","(1, 2, 0, 6)","(0, 2, 0, 3)",9
2,"(1, 0, 6, 0)","(1, 1, 6, 5)","(5, 1, 3, 2)",4
3,"(5, 2, 2, 4)","(5, 1, 5, 6)","(0, 2, 0, 1)",4
4,"(0, 2, 6, 5)","(0, 1, 1, 3)","(4, 1, 3, 2)",6
5,"(2, 1, 4, 1)","(2, 0, 2, 5)","(1, 2, 2, 1)",9
6,"(1, 2, 0, 2)","(1, 1, 6, 1)","(2, 0, 0, 4)",8
7,"(2, 0, 5, 3)","(2, 2, 4, 1)","(4, 1, 4, 4)",5
8,"(0, 0, 6, 6)","(0, 0, 2, 3)","(2, 2, 5, 0)",6
9,"(0, 2, 5, 1)","(0, 1, 4, 2)","(5, 0, 4, 1)",2
10,"(5, 2, 5, 6)","(5, 1, 2, 6)","(2, 0, 0, 2)",4
11,"(2, 0, 4, 0)","(2, 1, 3, 0)","(1, 2, 1, 1)",6
12,"(3, 1, 6, 2)","(3, 0, 2, 3)","(1, 2, 4, 1)",7
13,"(5, 0, 3, 0)","(5, 0, 1, 1)","(2, 1, 6, 0)",4
14,"(3, 0, 3, 1)","(3, 2, 1, 3)","(5, 2, 3, 0)",8
15,"(3, 1, 1, 1)","(3, 0, 5, 6)","(1, 2, 0, 4)",7
16,"(5, 0, 3, 4)","(5, 1, 6, 0)","(2, 2, 1, 1)",6
17,"(0, 0, 0, 0)","(0, 1, 3, 3)","(1, 0, 4, 2)",7
18,"(3, 2, 3, 6)","(3, 2, 4, 2)","(0, 1, 3, 2)",6
19,"(0, 1, 3, 2)","(0, 1, 5, 5)","(3, 2, 4, 3)",5
20,"(1, 0, 4, 5)","(1, 1, 1, 0)","(2, 1, 0, 4)",8
21,"(1, 0, 3, 0)","(1, 2, 1, 0)","(2, 1, 1, 5)",8
22,"(1, 1, 1, 1)","(1, 0, 1, 6)","(2, 1, 1, 5)",6
23,"(5, 0, 0, 2)","(5, 1, 3, 2)","(2, 2, 4, 2)",4
24,"(4, 1, 6, 4)","(4, 2, 5, 4)","(0, 2, 4, 0)",4
25,"(2, 0, 4, 5)","(2, 1, 5, 0)","(0, 0, 4, 0)",8
26,"(1, 1, 1, 3)","(1, 0, 1, 5)","(2, 2, 4, 4)",6
27,"(4, 1, 0, 4)","(4, 2, 2, 5)","(2, 1, 5, 3)",6
28,"(2, 2, 1, 2)","(2, 0, 0, 2)","(5, 1, 2, 5)",4
29,"(3, 2, 3, 0)","(3, 0, 6, 4)","(0, 1, 4, 3)",6
30,"(5, 1, 1, 0)","(5, 2, 3, 6)","(2, 2, 1, 3)",7
31,"(0, 1, 0, 5)","(0, 0, 0, 3)","(1, 2, 1, 1)",6
32,"(3, 2, 0, 1)","(3, 1, 6, 4)","(4, 1, 5, 6)",9
33,"(4, 2, 1, 2)","(4, 1, 6, 5)","(5, 0, 5, 3)",8
34,"(4, 1, 3, 5)","(4, 2, 3, 6)","(2, 1, 0, 6)",6
35,"(3, 2, 0, 1)","(3, 2, 1, 2)","(5, 1, 1, 3)",4
36,"(5, 1, 1, 2)","(5, 2, 2, 3)","(1, 2, 0, 2)",5
37,"(0, 2, 3, 6)","(0, 0, 1, 4)","(5, 2, 5, 4)",4
38,"(5, 1, 3, 0)","(5, 2, 5, 0)","(1, 0, 5, 5)",5
39,"(0, 0, 1, 5)","(0, 2, 3, 3)","(2, 0, 3, 6)",8
40,"(1, 1, 2, 5)","(1, 2, 3, 3)","(4, 1, 2, 1)",6
41,"(4, 0, 4, 5)","(4, 2, 2, 3)","(2, 2, 1, 2)",7
42,"(1, 2, 1, 5)","(1, 0, 2, 6)","(2, 0, 5, 1)",8
43,"(0, 0, 6, 2)","(0, 0, 3, 2)","(5, 0, 0, 3)",1
44,"(4, 1, 6, 2)","(4, 0, 2, 2)","(3, 0, 5, 2)",8
45,"(2, 0, 4, 2)","(2, 0, 3, 5)","(0, 1, 6, 0)",5
46,"(4, 0, 4, 0)","(4, 2, 3, 4)","(1, 1, 3, 4)",5
47,"(2, 2, 2, 6)","(2, 0, 2, 2)","(4, 2, 4, 4)",5
48,"(1, 2, 5, 2)","(1, 0, 4, 6)","(4, 2, 0, 6)",6
49,"(5, 2, 5, 6)","(5, 1, 5, 4)","(2, 2, 1, 5)",4
50,"(0, 1, 5, 6)","(0, 1, 6, 4)","(1, 0, 5, 5)",7
51,"(0, 1, 4, 1)","(0, 2, 2, 4)","(4, 0, 1, 3)",4
52,"(0, 2, 5, 3)","(0, 2, 6, 0)","(4, 2, 6, 3)",2
53,"(1, 2, 4, 4)","(1, 0, 0, 3)","(2, 1, 4, 6)",8
54,"(1, 0, 2, 3)","(1, 2, 1, 5)","(2, 1, 4, 1)",7
55,"(4, 0, 2, 1)","(4, 0, 2, 4)","(0, 2, 2, 6)",2
56,"(4, 0, 6, 6)","(4, 1, 0, 0)","(5, 2, 4, 5)",8
57,"(1, 1, 4, 3)","(1, 1, 2, 0)","(0, 2, 4, 3)",7
58,"(1, 2, 4, 6)","(1, 0, 6, 3)","(4, 0, 5, 0)",7
59,"(5, 1, 6, 0)","(5, 2, 1, 2)","(2, 1, 1, 3)",8
60,"(5, 2, 6, 4)","(5, 1, 2, 0)","(4, 2, 5, 4)",8
61,"(2, 2, 0, 5)","(2, 1, 1, 6)","(4, 0, 6, 5)",6
62,"(5, 1, 0, 0)","(5, 0, 2, 0)","(1, 2, 6, 5)",3
