Triplet_ID,Anchor,Positive,Negative,Hardness Score
1,Sha_wind3_b0.01_m1.3_1.avi,Sha_wind3_b0.01_m0.5_1.avi,Silk_wind3_b10_m0.7_1.avi,5
2,FeltGreen_wind2_b100_m1_1.avi,Silk_wind1_b100_m1_1.avi,Bro_wind1_b1_m1.7_1.avi,6
3,FeltGreen_wind2_b1_m1_1.avi,Cotton_wind2_b1_m1.3_1.avi,Fleece_wind3_b0.1_m0.7_1.avi,6
4,Cotton_wind3_b1_m1_1.avi,Silk_wind3_b1_m0.7_1.avi,Sha_wind1_b10_m0.7_1.avi,1
5,FeltGreen_wind1_b0.1_m1_1.avi,Bro_wind3_b0.1_m1.3_1.avi,Silk_wind2_b0.01_m0.7_1.avi,7
6,Sweater_wind3_b0.1_m0.5_1.avi,Bro_wind2_b0.1_m0.5_1.avi,Fleece_wind1_b100_m1.7_1.avi,5
7,Silk_wind1_b100_m0.3_1.avi,FeltGreen_wind1_b100_m0.3_1.avi,Bro_wind1_b10_m0.5_1.avi,5
8,Sweater_wind1_b1_m1_1.avi,Bro_wind2_b1_m1.7_1.avi,FeltGreen_wind1_b0.1_m0.1_1.avi,7
9,Sweater_wind1_b1_m1.7_1.avi,Sweater_wind1_b1_m1.7_1.avi,Cotton_wind2_b100_m1.7_1.avi,4
10,Sha_wind1_b0.01_m0.7_1.avi,Sha_wind3_b0.01_m0.1_1.avi,Sha_wind1_b0.1_m1_1.avi,3
11,Bro_wind1_b0.1_m1_1.avi,Cotton_wind3_b0.1_m1_1.avi,Cotton_wind1_b10_m1.7_1.avi,7
12,Bro_wind1_b10_m1.3_1.avi,Cotton_wind2_b10_m1_1.avi,Sweater_wind1_b0.001_m1.3_1.avi,6
13,Cotton_wind1_b0.1_m1_1.avi,Fleece_wind3_b0.1_m0.1_1.avi,Fleece_wind1_b10_m0.5_1.avi,9
14,FeltGreen_wind2_b100_m0.1_1.avi,Sweater_wind1_b100_m1.3_1.avi,Bro_wind1_b10_m0.5_1.avi,9
15,Fleece_wind3_b10_m0.1_1.avi,Fleece_wind3_b10_m1.3_1.avi,FeltGreen_wind1_b1_m1.3_1.avi,4
16,Bro_wind3_b1_m0.7_1.avi,Fleece_wind1_b1_m0.5_1.avi,FeltGreen_wind2_b0.1_m0.3_1.avi,7
17,Sweater_wind1_b0.1_m1.7_1.avi,Silk_wind3_b0.1_m1.7_1.avi,Silk_wind1_b10_m0.5_1.avi,7
18,FeltGreen_wind1_b1_m0.7_1.avi,Fleece_wind1_b1_m0.3_1.avi,Cotton_wind2_b0.01_m1.3_1.avi,5
19,Silk_wind2_b1_m0.7_1.avi,Silk_wind1_b1_m0.5_1.avi,Bro_wind3_b10_m0.1_1.avi,2
20,Bro_wind1_b0.001_m0.5_1.avi,Sweater_wind3_b0.001_m0.5_1.avi,Sha_wind3_b100_m1_1.avi,4
21,Cotton_wind1_b0.001_m0.3_1.avi,Sweater_wind1_b0.001_m1.3_1.avi,Cotton_wind1_b10_m0.3_1.avi,5
22,Fleece_wind1_b100_m0.7_1.avi,FeltGreen_wind3_b100_m1.7_1.avi,Bro_wind3_b10_m0.3_1.avi,9
23,Silk_wind3_b10_m0.5_1.avi,Bro_wind1_b10_m0.3_1.avi,Fleece_wind3_b100_m0.7_1.avi,4
24,Cotton_wind2_b0.001_m0.7_1.avi,Bro_wind3_b0.001_m0.7_1.avi,Fleece_wind1_b100_m0.1_1.avi,3
25,Cotton_wind2_b10_m1_1.avi,Bro_wind3_b10_m0.1_1.avi,Cotton_wind3_b0.1_m0.5_1.avi,8
26,Fleece_wind2_b1_m1.3_1.avi,Sweater_wind3_b1_m1.7_1.avi,Sha_wind2_b0.001_m0.1_1.avi,3
27,Fleece_wind2_b10_m0.7_1.avi,Sweater_wind2_b10_m0.1_1.avi,FeltGreen_wind3_b0.1_m1.7_1.avi,5
28,Sweater_wind3_b10_m1.3_1.avi,Sweater_wind1_b10_m0.5_1.avi,FeltGreen_wind1_b0.1_m1.7_1.avi,7
29,Bro_wind3_b0.001_m0.1_1.avi,FeltGreen_wind3_b0.001_m0.1_1.avi,FeltGreen_wind3_b100_m0.1_1.avi,3
30,Sha_wind2_b10_m0.1_1.avi,Bro_wind3_b10_m0.1_1.avi,Sha_wind2_b1_m0.3_1.avi,6
31,Bro_wind1_b10_m0.3_1.avi,FeltGreen_wind2_b10_m1.3_1.avi,FeltGreen_wind3_b0.1_m1_1.avi,8
32,Sweater_wind1_b100_m1.3_1.avi,Sha_wind3_b100_m1.7_1.avi,Silk_wind3_b0.01_m0.3_1.avi,6
33,Sweater_wind3_b10_m0.1_1.avi,Cotton_wind2_b10_m0.3_1.avi,Sweater_wind2_b0.1_m1.7_1.avi,7
34,Sweater_wind3_b0.001_m0.5_1.avi,Silk_wind3_b0.001_m1.3_1.avi,Silk_wind2_b10_m1.3_1.avi,4
35,Silk_wind3_b0.001_m1.7_1.avi,Fleece_wind2_b0.001_m1_1.avi,Fleece_wind2_b100_m0.5_1.avi,6
36,Silk_wind3_b100_m0.1_1.avi,Sweater_wind2_b100_m0.1_1.avi,Sweater_wind3_b10_m1.7_1.avi,7
37,Sweater_wind3_b100_m1_1.avi,Silk_wind2_b100_m0.7_1.avi,FeltGreen_wind2_b10_m1.7_1.avi,8
38,Cotton_wind1_b100_m1.7_1.avi,Sweater_wind2_b100_m0.3_1.avi,Silk_wind3_b0.001_m0.1_1.avi,4
39,FeltGreen_wind1_b0.01_m1_1.avi,Sweater_wind1_b0.01_m0.5_1.avi,Silk_wind3_b1_m0.3_1.avi,6
40,Sweater_wind1_b10_m1.7_1.avi,Fleece_wind1_b10_m0.7_1.avi,Silk_wind1_b100_m0.7_1.avi,1
