Triplet #,Anchor,Positive,Negative,Hardness Score
1,FeltGreen_wind3_b100_m1_1.mp4,Silk_wind2_b100_m1_1.mp4,Silk_wind1_b1_m1_1.mp4,6
2,FeltGreen_wind1_b10_m0.7_1.mp4,Cotton_wind3_b10_m0.7_1.mp4,FeltGreen_wind2_b100_m0.7_1.mp4,2
3,Sweater_wind1_b0.01_m1.7_1.mp4,Silk_wind3_b0.01_m1.7_1.mp4,Sweater_wind2_b10_m1.7_1.mp4,5
4,Sha_wind2_b10_m1.3_1.mp4,Cotton_wind3_b10_m1.3_1.mp4,Bro_wind2_b0.001_m1.3_1.mp4,4
5,Silk_wind3_b10_m0.5_1.mp4,FeltGreen_wind1_b10_m1.3_1.mp4,Silk_wind3_b1_m1.3_1.mp4,6
6,Silk_wind2_b10_m1.3_1.mp4,Bro_wind2_b10_m1.3_1.mp4,Cotton_wind3_b100_m1.3_1.mp4,1
7,Silk_wind1_b10_m0.1_1.mp4,Silk_wind3_b10_m0.1_1.mp4,Silk_wind2_b100_m0.1_1.mp4,1
8,Silk_wind1_b0.001_m0.5_1.mp4,Bro_wind2_b0.001_m0.5_1.mp4,Bro_wind1_b0.01_m0.5_1.mp4,3
9,Cotton_wind2_b0.1_m1.7_1.mp4,Sweater_wind1_b0.1_m1.7_1.mp4,Bro_wind1_b10_m1.7_1.mp4,7
10,Sweater_wind2_b0.1_m0.7_1.mp4,Sweater_wind1_b0.1_m1_1.mp4,Cotton_wind2_b1_m1.7_1.mp4,2
11,Silk_wind1_b100_m1_1.mp4,Fleece_wind2_b100_m1.3_1.mp4,Silk_wind3_b0.001_m0.5_1.mp4,4
12,Bro_wind2_b10_m0.7_1.mp4,Cotton_wind1_b10_m1.7_1.mp4,Sha_wind3_b100_m0.3_1.mp4,4
13,FeltGreen_wind3_b100_m1.7_1.mp4,Silk_wind2_b100_m0.1_1.mp4,Bro_wind2_b10_m0.1_1.mp4,7
14,Bro_wind1_b10_m1_1.mp4,Cotton_wind1_b10_m0.7_1.mp4,Sweater_wind1_b0.01_m1.7_1.mp4,2
15,Sha_wind1_b0.01_m0.7_1.mp4,Silk_wind3_b0.01_m0.7_1.mp4,Bro_wind1_b100_m0.7_1.mp4,4
16,Bro_wind1_b10_m0.3_1.mp4,Silk_wind2_b10_m0.3_1.mp4,Bro_wind3_b0.1_m0.5_1.mp4,5
17,Cotton_wind1_b0.001_m0.7_1.mp4,Fleece_wind3_b0.001_m0.7_1.mp4,Silk_wind1_b0.1_m0.7_1.mp4,6
18,Sha_wind3_b1_m0.3_1.mp4,Bro_wind2_b1_m0.3_1.mp4,Sweater_wind3_b0.01_m0.3_1.mp4,5
19,Bro_wind1_b1_m0.7_1.mp4,Sweater_wind1_b1_m0.7_1.mp4,Cotton_wind3_b0.001_m0.7_1.mp4,1
20,Sha_wind2_b1_m1_1.mp4,Sweater_wind1_b1_m1_1.mp4,Cotton_wind1_b0.1_m1_1.mp4,7
21,Silk_wind1_b100_m0.1_1.mp4,Sha_wind3_b100_m0.1_1.mp4,Fleece_wind3_b0.1_m0.1_1.mp4,3
22,Fleece_wind3_b1_m1.7_1.mp4,FeltGreen_wind2_b1_m1_1.mp4,FeltGreen_wind1_b0.01_m0.3_1.mp4,7
23,Bro_wind3_b1_m1_1.mp4,Sweater_wind2_b1_m0.5_1.mp4,Fleece_wind1_b0.001_m1.3_1.mp4,4
24,Silk_wind2_b0.1_m0.7_1.mp4,Sweater_wind3_b0.1_m1.7_1.mp4,Fleece_wind3_b100_m1_1.mp4,8
25,Silk_wind2_b10_m0.7_1.mp4,Fleece_wind1_b10_m0.7_1.mp4,Sweater_wind3_b100_m0.7_1.mp4,2
26,Fleece_wind3_b1_m1_1.mp4,Silk_wind2_b1_m1_1.mp4,Fleece_wind1_b0.01_m1_1.mp4,5
27,Sha_wind1_b1_m0.7_1.mp4,Sha_wind1_b1_m0.7_1.mp4,Bro_wind2_b0.001_m0.7_1.mp4,0
28,Fleece_wind3_b0.01_m1.7_1.mp4,FeltGreen_wind2_b0.01_m1.7_1.mp4,Sha_wind3_b0.1_m1.7_1.mp4,2
29,Fleece_wind2_b0.001_m1_1.mp4,Cotton_wind1_b0.001_m1_1.mp4,FeltGreen_wind3_b0.01_m1_1.mp4,2
30,Cotton_wind3_b0.001_m1.3_1.mp4,Silk_wind2_b0.001_m1.3_1.mp4,Sweater_wind1_b0.1_m1.3_1.mp4,6
31,Fleece_wind2_b0.001_m0.3_1.mp4,Sweater_wind1_b0.001_m0.3_1.mp4,Sha_wind3_b0.1_m0.3_1.mp4,6
32,FeltGreen_wind1_b0.01_m0.3_1.mp4,Sha_wind1_b0.01_m0.3_1.mp4,Sha_wind3_b0.001_m0.3_1.mp4,6
33,FeltGreen_wind1_b0.01_m1_1.mp4,Sha_wind2_b0.01_m0.1_1.mp4,FeltGreen_wind3_b10_m0.1_1.mp4,5
34,Sweater_wind3_b0.01_m0.5_1.mp4,Bro_wind2_b0.01_m0.5_1.mp4,Fleece_wind1_b1_m1.3_1.mp4,6
35,Sha_wind2_b100_m0.5_1.mp4,FeltGreen_wind3_b100_m1.3_1.mp4,Bro_wind2_b10_m0.7_1.mp4,8
36,Silk_wind2_b0.01_m0.3_1.mp4,Bro_wind2_b0.01_m0.3_1.mp4,Bro_wind2_b10_m0.3_1.mp4,5
