Triplet_ID,Anchor,Positive,Negative,Hardness Score
1,FeltGreen_wind2_b100_m1.7_1.mp4,FeltGreen_wind1_b100_m1_1.mp4,Fleece_wind2_b0.01_m0.3_1.mp4,4
2,Silk_wind3_b0.001_m1_1.mp4,Silk_wind2_b0.001_m0.3_1.mp4,Bro_wind1_b10_m0.3_1.mp4,3
3,Sweater_wind3_b0.001_m0.7_1.mp4,Silk_wind1_b0.001_m1_1.mp4,Sha_wind1_b10_m0.7_1.mp4,7
4,Sha_wind1_b0.001_m1_1.mp4,Cotton_wind3_b0.001_m0.3_1.mp4,Fleece_wind3_b0.1_m1.3_1.mp4,9
5,FeltGreen_wind2_b0.01_m0.3_1.mp4,Sweater_wind3_b0.01_m0.7_1.mp4,Sha_wind1_b0.001_m0.5_1.mp4,8
6,Sha_wind1_b1_m1.7_1.mp4,Bro_wind1_b1_m0.1_1.mp4,Bro_wind1_b0.001_m1.7_1.mp4,4
7,FeltGreen_wind2_b100_m0.7_1.mp4,FeltGreen_wind2_b100_m0.3_1.mp4,Silk_wind2_b0.01_m0.3_1.mp4,2
8,Bro_wind2_b1_m0.5_1.mp4,Silk_wind3_b1_m0.5_1.mp4,Bro_wind3_b10_m1.7_1.mp4,3
9,Cotton_wind2_b0.001_m1_1.mp4,Silk_wind1_b0.001_m0.7_1.mp4,Cotton_wind2_b1_m1.7_1.mp4,6
10,Fleece_wind2_b0.001_m0.1_1.mp4,Silk_wind3_b0.001_m0.1_1.mp4,Sweater_wind2_b0.01_m0.5_1.mp4,2
11,FeltGreen_wind1_b100_m1.7_1.mp4,Silk_wind1_b100_m0.1_1.mp4,Bro_wind1_b0.001_m0.1_1.mp4,2
12,Sha_wind1_b0.01_m1.7_1.mp4,FeltGreen_wind2_b0.01_m0.3_1.mp4,Bro_wind1_b0.1_m0.3_1.mp4,2
13,Sweater_wind2_b0.1_m1_1.mp4,Sweater_wind3_b0.1_m0.7_1.mp4,Silk_wind2_b0.01_m0.3_1.mp4,6
14,Fleece_wind2_b0.01_m1.7_1.mp4,FeltGreen_wind3_b0.01_m0.1_1.mp4,Bro_wind2_b1_m1.3_1.mp4,8
15,Sweater_wind2_b0.001_m0.3_1.mp4,Bro_wind1_b0.001_m0.5_1.mp4,Sha_wind2_b10_m0.7_1.mp4,5
16,Sha_wind2_b0.1_m0.5_1.mp4,Fleece_wind3_b0.1_m1.7_1.mp4,FeltGreen_wind3_b1_m0.5_1.mp4,5
17,Sweater_wind3_b0.1_m0.1_1.mp4,Bro_wind3_b0.1_m1.7_1.mp4,Sha_wind2_b10_m0.3_1.mp4,7
18,Sha_wind3_b0.001_m0.7_1.mp4,Cotton_wind3_b0.001_m0.5_1.mp4,Cotton_wind3_b1_m1.7_1.mp4,6
19,Bro_wind3_b1_m0.5_1.mp4,Sweater_wind1_b1_m0.5_1.mp4,Silk_wind1_b0.1_m0.7_1.mp4,7
20,Sha_wind1_b0.1_m1.7_1.mp4,Bro_wind1_b0.1_m0.3_1.mp4,FeltGreen_wind2_b0.001_m1.3_1.mp4,6
21,Cotton_wind2_b1_m1_1.mp4,Fleece_wind3_b1_m0.7_1.mp4,Bro_wind3_b0.1_m0.5_1.mp4,8
22,Bro_wind1_b0.01_m1_1.mp4,Cotton_wind3_b0.01_m0.1_1.mp4,FeltGreen_wind1_b1_m1_1.mp4,8
23,FeltGreen_wind1_b1_m0.5_1.mp4,Fleece_wind3_b1_m1.3_1.mp4,Sweater_wind1_b100_m1_1.mp4,8
24,Sha_wind2_b1_m0.1_1.mp4,Cotton_wind3_b1_m0.7_1.mp4,Sweater_wind3_b10_m0.5_1.mp4,5
25,Sweater_wind1_b0.01_m0.1_1.mp4,Sweater_wind3_b0.01_m1.7_1.mp4,Silk_wind2_b100_m0.3_1.mp4,5
26,Sha_wind3_b1_m1.3_1.mp4,Fleece_wind2_b1_m1_1.mp4,FeltGreen_wind3_b0.01_m0.7_1.mp4,6
27,Bro_wind1_b0.001_m0.5_1.mp4,Cotton_wind1_b0.001_m0.5_1.mp4,Fleece_wind2_b1_m0.7_1.mp4,4
28,Bro_wind3_b10_m1.3_1.mp4,Bro_wind1_b10_m0.1_1.mp4,FeltGreen_wind3_b0.01_m1_1.mp4,3
29,Bro_wind1_b0.001_m1.7_1.mp4,FeltGreen_wind3_b0.001_m0.3_1.mp4,Sha_wind3_b100_m1.3_1.mp4,6
30,Silk_wind1_b0.001_m1.3_1.mp4,Sha_wind1_b0.001_m1_1.mp4,Cotton_wind3_b10_m0.3_1.mp4,4
31,Cotton_wind1_b100_m0.5_1.mp4,Sweater_wind1_b100_m0.1_1.mp4,FeltGreen_wind3_b1_m0.7_1.mp4,6
32,Silk_wind1_b10_m0.7_1.mp4,Sha_wind1_b10_m0.5_1.mp4,Sha_wind3_b0.01_m0.1_1.mp4,3
33,FeltGreen_wind2_b1_m0.7_1.mp4,Fleece_wind3_b1_m0.1_1.mp4,Sweater_wind3_b0.01_m1_1.mp4,8
34,Silk_wind3_b0.01_m0.1_1.mp4,Silk_wind1_b0.01_m0.3_1.mp4,Sweater_wind1_b10_m0.7_1.mp4,6
35,Bro_wind1_b100_m0.1_1.mp4,Silk_wind3_b100_m0.5_1.mp4,Silk_wind2_b1_m0.3_1.mp4,8
36,Cotton_wind1_b0.1_m0.7_1.mp4,Cotton_wind1_b0.1_m0.3_1.mp4,Cotton_wind1_b0.001_m0.1_1.mp4,4
37,Bro_wind2_b0.1_m1_1.mp4,Sweater_wind1_b0.1_m0.1_1.mp4,Silk_wind1_b10_m0.1_1.mp4,7
38,Silk_wind3_b0.001_m1.7_1.mp4,Bro_wind1_b0.001_m0.5_1.mp4,FeltGreen_wind3_b0.1_m0.3_1.mp4,7
39,FeltGreen_wind3_b0.1_m1.7_1.mp4,Cotton_wind2_b0.1_m0.3_1.mp4,Cotton_wind1_b10_m0.3_1.mp4,7
40,Silk_wind1_b0.01_m0.7_1.mp4,Sweater_wind1_b0.01_m0.1_1.mp4,FeltGreen_wind3_b1_m0.7_1.mp4,7
41,Sweater_wind3_b10_m0.3_1.mp4,FeltGreen_wind2_b10_m0.3_1.mp4,Silk_wind3_b0.001_m0.3_1.mp4,4
42,Bro_wind3_b0.001_m0.1_1.mp4,Bro_wind1_b0.001_m0.1_1.mp4,Silk_wind2_b100_m0.3_1.mp4,2
43,Silk_wind2_b1_m0.7_1.mp4,Bro_wind1_b1_m0.5_1.mp4,Sweater_wind1_b0.01_m1_1.mp4,7
44,Sweater_wind3_b0.01_m1.7_1.mp4,FeltGreen_wind1_b0.01_m0.1_1.mp4,Sha_wind3_b0.001_m0.1_1.mp4,6
45,Cotton_wind3_b100_m0.3_1.mp4,Silk_wind2_b100_m1.3_1.mp4,Cotton_wind2_b1_m0.3_1.mp4,8
46,Sha_wind3_b0.01_m1.3_1.mp4,Silk_wind3_b0.01_m0.7_1.mp4,Fleece_wind1_b0.1_m0.7_1.mp4,1
47,Bro_wind3_b1_m1.7_1.mp4,FeltGreen_wind3_b1_m0.5_1.mp4,FeltGreen_wind2_b10_m0.5_1.mp4,2
48,Bro_wind3_b0.1_m1.7_1.mp4,Fleece_wind3_b0.1_m0.5_1.mp4,Bro_wind1_b0.001_m1_1.mp4,6
49,Bro_wind1_b0.001_m1_1.mp4,FeltGreen_wind1_b0.001_m0.1_1.mp4,Bro_wind2_b0.1_m1.3_1.mp4,7
50,Cotton_wind2_b0.1_m1.3_1.mp4,Fleece_wind2_b0.1_m1_1.mp4,Sweater_wind3_b0.01_m0.1_1.mp4,6
51,Fleece_wind3_b0.001_m1.7_1.mp4,Bro_wind3_b0.001_m0.1_1.mp4,Sweater_wind2_b10_m0.3_1.mp4,5
52,Fleece_wind2_b10_m1_1.mp4,Cotton_wind3_b10_m1.3_1.mp4,Sweater_wind2_b0.1_m0.5_1.mp4,6
53,Silk_wind3_b1_m0.1_1.mp4,Silk_wind3_b1_m0.7_1.mp4,Sha_wind3_b100_m0.5_1.mp4,6
54,Sha_wind1_b0.001_m0.3_1.mp4,Fleece_wind1_b0.001_m0.3_1.mp4,Cotton_wind1_b0.01_m0.1_1.mp4,1
55,Cotton_wind3_b0.1_m1.7_1.mp4,Fleece_wind2_b0.1_m1_1.mp4,Silk_wind3_b0.01_m1.7_1.mp4,8
56,Cotton_wind3_b0.1_m1_1.mp4,Bro_wind3_b0.1_m0.1_1.mp4,Cotton_wind2_b1_m0.1_1.mp4,1
57,Cotton_wind3_b100_m1.3_1.mp4,Fleece_wind2_b100_m1.7_1.mp4,FeltGreen_wind1_b0.01_m0.1_1.mp4,5
58,Sweater_wind2_b0.1_m1.3_1.mp4,Cotton_wind1_b0.1_m1.3_1.mp4,Sweater_wind3_b1_m1_1.mp4,2
59,Sweater_wind2_b10_m0.1_1.mp4,FeltGreen_wind3_b10_m1_1.mp4,FeltGreen_wind1_b1_m1.3_1.mp4,8
